TransactionID,ProductType,SalesValue,TransactionDate
63,RAM,1164.56,2025-03-14
64,RAM,521.35,2025-09-16
65,Monitor,792.67,2024-02-27
66,HDD,1288.58,2024-10-06
67,SSD,383.71,2025-01-01
68,CPU,432.98,2025-05-19
69,Monitor,71.94,2024-02-15
70,SSD,290.76,2024-09-28
71,SSD,854.11,2024-09-12
72,SSD,834.2,2025-03-09
73,RAM,1043.01,2024-10-24
74,Keyboard,1364.39,2024-01-02
75,SSD,276.9,2024-12-10
76,Keyboard,765.59,2025-05-20
77,HDD,1007.76,2024-01-07
78,HDD,1147.08,2024-06-12
79,RAM,969.44,2024-04-30
80,Monitor,216.39,2024-06-08
81,CPU,1068.45,2025-10-02
82,SSD,794.11,2024-04-30
83,Keyboard,399.37,2025-06-18
84,GPU,566.34,2025-06-21
85,GPU,458.81,2024-06-12
86,SSD,664.72,2025-10-27
87,CPU,916.97,2024-04-22
88,HDD,647.52,2024-10-26
89,RAM,1476.58,2024-01-31
90,RAM,1437.52,2025-01-20
91,CPU,305.74,2024-10-12
92,RAM,188.12,2024-07-12
93,SSD,1124.55,2024-04-30
94,Monitor,642.36,2024-01-17
95,RAM,1450.69,2025-11-20
96,GPU,1459.88,2025-03-16
97,Monitor,471.55,2025-04-17
98,SSD,962.29,2024-04-07
99,Monitor,1074.07,2024-10-27
100,Keyboard,1022.05,2025-01-21
101,CPU,771.3,2024-09-01
102,RAM,627.96,2025-08-09
103,Keyboard,1414.48,2024-05-12
104,GPU,675.25,2024-03-11
105,CPU,146.52,2025-07-16
106,CPU,1398.4,2024-05-13
107,RAM,983.57,2025-04-18
108,CPU,997.98,2025-03-31
109,CPU,850.09,2024-12-16
110,SSD,496.72,2024-12-17
111,Keyboard,117.97,2024-07-20
112,RAM,749.24,2025-06-14
113,SSD,899.11,2025-06-20
114,CPU,923.16,2025-08-27
115,GPU,586.72,2024-10-12
116,HDD,462.07,2025-06-14
117,SSD,768.69,2024-03-01
118,Keyboard,578.46,2025-03-25
119,Keyboard,1466.08,2025-10-12
120,Keyboard,762.37,2025-03-24
121,CPU,752.55,2024-02-10
122,GPU,1348.56,2025-07-21
123,Monitor,1028.27,2025-04-23
124,Keyboard,162.91,2024-07-12
125,Keyboard,1234.1,2024-02-03
126,SSD,672.91,2024-07-21
127,Monitor,468.03,2025-01-05
128,HDD,253.79,2024-07-26
129,SSD,1347.98,2024-09-02
130,Keyboard,138.65,2025-08-07
131,CPU,923.28,2025-07-25
132,HDD,1362.54,2025-11-19
133,HDD,1409.96,2025-07-02
134,CPU,109.33,2024-02-19
135,RAM,785.05,2025-08-10
136,SSD,974.25,2025-04-28
137,SSD,830.63,2024-12-16
138,Keyboard,1080.76,2024-11-10
139,GPU,191.72,2025-04-29
140,RAM,82.46,2024-09-27
141,RAM,327.35,2024-06-12
142,GPU,1499.15,2025-08-04
143,RAM,290.88,2025-01-14
144,Keyboard,109.74,2025-08-02
145,Monitor,578.52,2025-10-11
146,RAM,466.3,2024-07-01
147,CPU,291.64,2024-10-24
148,HDD,888.49,2025-02-20
149,HDD,1489.54,2024-04-20
150,Monitor,1177.2,2025-07-27
151,Monitor,909.75,2024-01-06
152,Monitor,471.63,2025-07-12
153,HDD,372.84,2025-06-18
154,CPU,1494.06,2025-05-16
155,HDD,1354.61,2024-05-16
156,SSD,544.59,2024-02-12
157,RAM,372.92,2025-08-03
158,SSD,877.23,2025-06-21
159,SSD,389.16,2024-09-10
160,Monitor,331.05,2025-12-26
161,SSD,870.85,2025-11-24
162,RAM,322.57,2024-12-24
163,HDD,399.26,2025-04-02
164,Monitor,769.81,2025-04-19
165,GPU,121.65,2024-05-04
166,GPU,641.15,2024-05-19
167,Keyboard,1060.86,2024-05-21
168,HDD,1140.05,2025-09-22
169,RAM,823.92,2024-09-04
170,SSD,276.32,2024-03-19
171,CPU,1346.0,2024-06-14
172,Monitor,1173.87,2024-04-22
173,SSD,1136.05,2024-02-26
174,CPU,734.4,2024-05-19
175,HDD,925.64,2024-06-18
176,Monitor,800.15,2025-03-09
177,Monitor,503.17,2025-02-12
178,Monitor,1492.54,2025-01-17
179,Monitor,905.48,2024-09-28
180,HDD,1410.73,2025-06-17
181,HDD,407.79,2024-11-08
182,Keyboard,230.93,2025-05-30
183,CPU,675.15,2024-09-19
184,Keyboard,901.56,2024-08-23
185,GPU,555.47,2024-06-26
186,RAM,305.11,2024-02-25
187,RAM,1312.98,2025-08-08
188,RAM,1001.14,2024-10-08
189,SSD,557.48,2025-12-09
190,Keyboard,829.05,2024-04-30
191,SSD,446.55,2025-04-23
192,GPU,1398.13,2024-06-23
193,Monitor,154.79,2024-11-22
194,SSD,1290.13,2025-07-17
195,Monitor,369.27,2024-05-28
196,HDD,766.34,2024-01-30
197,GPU,944.15,2024-04-29
198,CPU,1017.52,2024-11-24
199,RAM,709.02,2025-12-15
200,CPU,345.44,2025-04-01
201,SSD,186.74,2025-07-07
202,Keyboard,1283.99,2025-08-10
203,HDD,1210.39,2025-07-26
204,RAM,681.32,2025-09-15
205,GPU,904.63,2025-05-09
206,GPU,672.66,2025-12-16
207,RAM,1305.76,2025-01-30
208,RAM,1406.79,2024-08-24
209,CPU,1086.89,2024-04-23
210,GPU,123.0,2025-07-10
211,Keyboard,1409.41,2025-02-23
212,RAM,1059.67,2024-09-18
213,HDD,1442.51,2025-08-16
214,HDD,738.98,2025-12-05
215,CPU,1019.97,2025-08-10
216,CPU,924.25,2025-01-10
217,Monitor,1450.71,2024-11-10
218,SSD,813.74,2024-12-04
219,Monitor,758.01,2024-10-23
220,RAM,60.34,2024-12-21
221,GPU,1118.14,2025-09-28
222,Keyboard,1495.55,2025-03-15
223,SSD,244.02,2025-01-31
224,CPU,326.36,2025-02-05
225,HDD,298.04,2025-04-03
226,Monitor,1487.78,2025-05-16
227,HDD,674.33,2025-10-04
228,Keyboard,83.25,2024-02-09
229,RAM,807.63,2025-06-01
230,SSD,1025.77,2024-12-22
231,GPU,464.09,2024-11-20
232,SSD,245.78,2025-03-15
233,HDD,1018.34,2025-04-28
234,CPU,52.34,2024-11-29
235,Keyboard,381.28,2025-05-10
236,GPU,384.21,2024-11-26
237,GPU,174.53,2024-11-24
238,Keyboard,923.53,2025-09-01
239,CPU,220.74,2025-05-18
240,Monitor,707.21,2025-02-17
241,Monitor,967.01,2024-01-15
242,HDD,604.34,2024-04-09
243,RAM,936.55,2025-03-08
244,GPU,1145.92,2024-04-05
245,CPU,1097.84,2024-06-30
246,GPU,366.48,2025-01-16
247,SSD,255.65,2025-08-21
248,GPU,886.13,2025-12-20
249,GPU,1225.87,2024-06-27
250,Keyboard,987.97,2025-07-17
251,GPU,1398.51,2025-01-21
252,GPU,90.58,2025-08-09
253,CPU,1230.8,2025-01-01
254,RAM,604.71,2025-05-27
255,CPU,77.64,2024-04-27
256,HDD,769.52,2025-01-05
257,SSD,970.36,2025-05-12
258,CPU,366.23,2025-06-25
259,GPU,808.06,2024-11-17
260,RAM,417.04,2024-05-31
261,HDD,290.54,2024-05-16
262,HDD,998.71,2025-04-06
263,GPU,403.76,2024-12-28
264,RAM,986.47,2024-01-14
265,Keyboard,1421.46,2025-11-03
266,HDD,1199.45,2024-09-26
267,SSD,1027.12,2025-05-01
268,GPU,344.29,2025-04-25
269,CPU,771.75,2025-12-26
270,HDD,363.71,2024-06-06
271,GPU,79.07,2025-07-05
272,Keyboard,366.24,2025-07-21
273,SSD,266.21,2024-02-25
274,RAM,238.04,2024-07-15
275,GPU,812.16,2025-05-18
276,Keyboard,963.35,2024-03-24
277,HDD,862.07,2025-12-15
278,HDD,175.91,2025-07-17
279,SSD,139.08,2025-09-04
280,Monitor,514.63,2024-06-22
281,GPU,1171.19,2025-08-02
282,GPU,565.77,2024-08-29
283,CPU,554.12,2024-05-10
284,GPU,628.56,2025-10-21
285,GPU,89.11,2024-11-07
286,HDD,710.26,2025-08-16
287,SSD,1411.88,2024-07-25
288,Keyboard,397.66,2024-05-07
289,CPU,709.75,2024-12-20
290,HDD,131.84,2025-02-16
291,HDD,1424.47,2025-06-17
292,Monitor,969.25,2025-04-28
293,CPU,582.02,2025-07-10
294,Monitor,991.99,2024-05-23
295,SSD,1316.96,2024-06-19
296,GPU,1090.44,2025-01-19
297,CPU,1100.59,2024-04-15
298,SSD,977.11,2025-03-30
299,Monitor,857.63,2024-04-09
300,Keyboard,920.55,2024-07-29
301,GPU,285.11,2024-05-14
302,GPU,1193.08,2025-06-07
303,RAM,401.46,2024-11-13
304,CPU,241.94,2024-05-22
305,HDD,521.73,2024-09-09
306,RAM,1475.83,2025-02-10
307,SSD,54.43,2025-04-18
308,HDD,134.84,2024-05-01
309,GPU,283.73,2025-03-01
310,GPU,829.38,2024-10-31
311,HDD,540.06,2024-08-09
312,HDD,935.24,2025-03-20
313,GPU,532.75,2024-10-08
314,Keyboard,1494.92,2025-07-04
315,HDD,1026.37,2024-06-04
316,HDD,1296.56,2025-05-25
317,HDD,1300.38,2025-05-29
318,RAM,555.46,2024-09-09
319,CPU,441.41,2024-08-09
320,GPU,199.88,2025-10-16
321,Monitor,439.29,2024-12-03
322,Keyboard,1048.67,2025-04-26
323,Monitor,370.28,2024-11-17
324,Keyboard,700.49,2025-10-27
325,SSD,215.79,2025-04-14
326,GPU,494.53,2024-05-19
327,Monitor,1445.67,2025-04-19
328,HDD,1469.61,2025-11-14
329,HDD,648.71,2024-07-26
330,Keyboard,1214.54,2025-11-09
331,HDD,982.87,2024-10-20
332,GPU,129.99,2025-11-13
333,HDD,1368.8,2025-04-27
334,Monitor,121.42,2024-02-25
335,RAM,1234.56,2024-04-04
336,Monitor,309.69,2025-05-01
337,SSD,1056.5,2024-09-05
338,GPU,507.64,2025-04-07
339,Monitor,1288.45,2024-05-30
340,RAM,889.37,2024-06-25
341,CPU,683.99,2025-07-10
342,CPU,220.02,2024-05-09
343,HDD,1362.88,2024-02-09
344,RAM,421.09,2024-07-06
345,CPU,1202.62,2025-10-15
346,RAM,359.2,2025-10-26
347,GPU,1196.21,2025-10-23
348,CPU,350.62,2024-04-23
349,HDD,1163.49,2024-01-07
350,CPU,1305.91,2024-08-27
351,RAM,808.03,2024-08-06
352,Keyboard,440.25,2024-10-30
353,SSD,466.89,2024-01-07
354,Keyboard,784.51,2025-03-31
355,SSD,1458.69,2024-10-09
356,HDD,1002.27,2024-10-21
357,Keyboard,1149.47,2024-11-08
358,Monitor,1454.74,2024-12-12
359,Monitor,166.18,2025-06-21
360,CPU,1334.71,2024-07-01
361,Keyboard,246.57,2024-06-16
362,CPU,742.32,2025-01-13
363,HDD,1258.85,2025-05-17
364,Keyboard,1330.6,2024-12-21
365,HDD,951.09,2025-06-21
366,Keyboard,398.97,2025-07-28
367,SSD,513.46,2024-06-11
368,SSD,58.71,2025-11-09
369,HDD,872.23,2025-11-27
370,Monitor,1364.37,2024-04-21
371,Monitor,496.0,2025-02-10
372,SSD,1376.84,2024-02-15
373,Keyboard,1073.53,2024-02-27
374,Keyboard,1130.1,2025-01-18
375,HDD,517.86,2025-10-27
376,CPU,728.18,2024-07-01
377,HDD,1072.45,2024-10-11
378,Monitor,1148.45,2024-03-03
379,GPU,902.69,2025-07-01
380,Keyboard,1109.44,2024-10-04
381,GPU,564.35,2024-02-25
382,CPU,890.36,2024-08-13
383,CPU,1257.59,2025-12-11
384,RAM,1047.39,2024-03-05
385,Monitor,644.07,2025-04-25
386,SSD,512.64,2025-12-18
387,Keyboard,279.15,2025-11-15
388,SSD,459.33,2025-09-29
389,Monitor,736.74,2024-01-04
390,Monitor,461.04,2025-11-09
391,CPU,918.23,2024-11-12
392,Monitor,811.0,2024-08-13
393,CPU,272.5,2024-01-20
394,Keyboard,329.32,2025-09-01
395,Monitor,352.46,2024-12-02
396,Monitor,1238.7,2024-08-06
397,Monitor,1130.58,2024-06-29
398,Monitor,1184.9,2024-06-06
399,HDD,569.06,2025-09-26
400,Keyboard,920.6,2025-07-28
401,GPU,1120.5,2025-09-14
402,RAM,845.09,2025-05-15
403,Keyboard,402.67,2025-08-28
404,HDD,546.22,2025-07-19
405,SSD,1104.76,2025-10-09
406,HDD,822.34,2025-02-03
407,GPU,274.9,2024-07-31
408,RAM,469.15,2024-08-21
409,Monitor,185.13,2024-05-19
410,HDD,1162.66,2024-07-05
411,SSD,179.36,2024-04-06
412,GPU,200.35,2025-11-01
413,CPU,1067.98,2024-02-22
414,Monitor,136.0,2024-12-04
415,SSD,1081.84,2025-08-04
416,Monitor,709.18,2024-04-13
417,SSD,742.31,2024-01-22
418,Monitor,116.64,2024-11-28
419,Monitor,1083.61,2025-03-31
420,RAM,152.75,2024-12-03
421,Keyboard,595.71,2024-03-24
422,RAM,1344.92,2025-10-29
423,Keyboard,108.88,2025-03-29
424,SSD,1198.56,2025-05-20
425,CPU,713.13,2024-12-19
426,RAM,1037.2,2024-11-26
427,Keyboard,350.36,2024-05-13
428,SSD,1251.97,2025-03-28
429,GPU,969.04,2024-01-31
430,Monitor,1155.02,2024-06-25
431,Monitor,478.89,2024-11-13
432,GPU,1320.22,2025-02-08
433,GPU,1334.54,2024-06-19
434,Monitor,737.72,2024-03-21
435,HDD,397.81,2024-01-13
436,GPU,309.62,2024-03-29
437,RAM,672.27,2025-01-04
438,CPU,861.97,2025-03-29
439,HDD,374.92,2024-03-13
440,HDD,297.11,2024-09-27
441,HDD,1003.78,2024-12-13
442,SSD,1371.22,2025-09-04
443,HDD,1213.47,2025-07-28
444,GPU,1287.26,2025-05-01
445,CPU,375.1,2024-02-02
446,Keyboard,306.91,2025-03-14
447,RAM,1192.75,2025-11-25
448,Keyboard,108.98,2024-08-18
449,SSD,396.97,2024-02-29
450,CPU,1379.06,2024-09-09
451,GPU,1367.13,2025-03-15
452,RAM,681.21,2024-01-04
453,HDD,1030.81,2025-07-27
454,GPU,236.33,2025-03-05
455,GPU,857.21,2025-08-27
456,RAM,1002.88,2024-03-05
457,Keyboard,817.31,2025-05-26
458,Keyboard,584.5,2024-09-19
459,RAM,531.04,2024-12-16
460,Monitor,465.43,2025-10-17
461,CPU,895.27,2025-07-13
462,SSD,1403.32,2024-10-17
463,SSD,316.6,2024-05-18
464,HDD,385.27,2024-06-29
465,CPU,1341.81,2025-10-21
466,SSD,679.74,2024-01-08
467,SSD,838.79,2024-04-07
468,Monitor,286.28,2025-10-01
469,CPU,186.45,2025-03-03
470,Keyboard,1009.61,2025-08-19
471,RAM,596.47,2024-07-27
472,SSD,283.77,2024-06-19
473,HDD,214.96,2025-04-06
474,GPU,1012.21,2024-01-28
475,Monitor,201.18,2024-04-09
476,RAM,327.07,2024-10-11
477,GPU,1472.15,2024-08-18
478,Keyboard,514.07,2025-08-25
479,CPU,441.55,2025-07-11
480,Monitor,225.25,2024-06-17
481,HDD,860.91,2024-09-19
482,SSD,1458.12,2024-02-22
483,SSD,757.32,2025-05-04
484,Monitor,686.77,2025-01-28
485,RAM,397.11,2025-10-29
486,SSD,1161.54,2024-07-17
487,Keyboard,690.33,2024-07-19
488,Monitor,678.93,2025-01-19
489,CPU,1480.23,2025-10-13
490,HDD,585.8,2024-05-30
491,GPU,557.42,2025-03-04
492,HDD,1071.27,2025-01-21
493,Monitor,1165.03,2024-11-19
494,Monitor,1213.56,2024-10-06
495,SSD,1270.28,2024-08-29
496,CPU,550.65,2024-04-04
497,SSD,174.26,2025-11-29
498,CPU,78.46,2024-09-24
499,RAM,358.68,2025-06-02
500,GPU,738.11,2024-01-12
501,SSD,1377.3,2024-01-24
502,HDD,665.19,2025-05-31
503,GPU,1237.19,2024-11-23
504,Keyboard,147.2,2024-02-06
505,Keyboard,1207.99,2025-11-06
506,HDD,930.44,2024-03-14
507,GPU,905.02,2025-08-28
508,GPU,952.72,2024-10-07
509,RAM,917.59,2025-10-14
510,CPU,1207.4,2024-01-12
511,RAM,613.97,2024-07-29
512,SSD,101.17,2025-10-31
513,CPU,578.59,2025-07-20
514,Keyboard,322.34,2024-06-21
515,HDD,989.12,2025-12-17
516,RAM,1326.75,2025-09-29
517,RAM,579.41,2025-07-23
518,GPU,220.41,2025-01-18
519,Monitor,1266.16,2024-04-23
520,SSD,796.9,2025-01-02
521,Keyboard,1331.89,2025-01-14
522,SSD,852.0,2024-05-06
523,HDD,303.22,2024-06-11
524,RAM,311.44,2025-11-08
525,GPU,740.36,2025-08-31
526,SSD,574.74,2025-05-16
527,Monitor,624.31,2024-05-17
528,GPU,196.09,2024-04-30
529,CPU,957.42,2024-02-26
530,SSD,1346.48,2025-04-02
531,CPU,366.07,2025-09-09
532,SSD,1035.65,2025-11-15
533,RAM,950.27,2024-04-14
534,SSD,839.93,2025-12-15
535,GPU,1033.21,2025-05-14
536,Keyboard,705.16,2025-04-30
537,Keyboard,1305.86,2025-03-22
538,HDD,751.58,2025-07-24
539,SSD,1063.11,2024-06-16
540,SSD,869.59,2025-02-06
541,Monitor,226.39,2025-05-17
542,CPU,654.77,2024-04-01
543,CPU,609.77,2024-12-04
544,RAM,733.41,2024-06-05
545,SSD,235.45,2025-04-30
546,SSD,763.97,2025-06-10
547,Keyboard,201.63,2025-02-17
548,Keyboard,192.7,2025-07-14
549,Monitor,802.66,2025-04-04
550,CPU,1123.04,2024-10-23
551,HDD,686.69,2024-01-31
552,GPU,876.3,2025-04-10
553,Keyboard,1043.4,2025-08-28
554,HDD,1405.92,2024-12-04
555,Keyboard,987.21,2024-03-03
556,RAM,988.1,2025-03-23
557,CPU,313.17,2024-01-02
558,CPU,223.5,2024-04-25
559,CPU,965.83,2025-07-08
560,SSD,878.1,2025-12-01
561,Monitor,251.63,2024-11-08
562,Keyboard,717.59,2024-11-16
563,HDD,1022.32,2024-03-13
564,Keyboard,525.52,2025-01-19
565,Keyboard,1055.84,2024-09-20
566,Monitor,1402.26,2024-05-25
567,Monitor,724.38,2024-10-30
568,Keyboard,1450.14,2025-07-13
569,HDD,816.12,2025-12-07
570,Monitor,1175.77,2024-03-01
571,SSD,494.23,2024-09-29
572,HDD,639.48,2025-06-20
573,Monitor,1403.8,2025-03-12
574,Monitor,375.67,2025-04-09
575,HDD,377.77,2025-01-25
576,HDD,946.01,2024-11-15
577,GPU,1340.65,2025-05-09
578,Keyboard,199.88,2024-01-11
579,SSD,1291.3,2025-05-18
580,Keyboard,855.51,2025-12-26
581,GPU,1203.13,2024-08-03
582,HDD,1322.26,2025-04-01
583,HDD,1213.58,2024-04-08
584,Monitor,110.9,2024-02-27
585,Keyboard,1262.33,2025-11-03
586,CPU,1485.02,2025-05-02
587,SSD,416.71,2024-11-13
588,Monitor,1282.95,2024-05-30
589,RAM,648.62,2024-05-13
590,CPU,485.89,2025-08-02
591,SSD,759.07,2024-07-29
592,Keyboard,918.63,2025-12-30
593,SSD,989.72,2024-12-20
594,GPU,1355.36,2025-05-22
595,CPU,744.81,2024-09-18
596,SSD,522.61,2024-06-04
597,Monitor,1019.41,2024-07-09
598,Monitor,951.14,2025-11-15
599,GPU,646.3,2024-09-29
600,Monitor,1145.28,2024-06-13
601,SSD,974.97,2025-03-23
602,CPU,1155.19,2024-12-22
603,CPU,498.17,2024-06-27
604,Keyboard,1487.03,2024-10-13
605,HDD,475.53,2024-04-05
606,RAM,241.23,2025-03-06
607,Keyboard,1294.69,2025-06-17
608,GPU,1142.98,2025-05-05
609,HDD,217.47,2025-06-22
610,GPU,417.48,2025-02-15
611,Keyboard,1362.87,2024-05-30
612,HDD,1045.67,2024-08-03
613,GPU,1282.51,2024-12-09
614,GPU,1474.38,2024-10-02
615,Monitor,284.73,2024-03-07
616,CPU,1340.84,2025-04-21
617,HDD,811.42,2024-02-23
618,Monitor,1443.47,2025-05-03
619,CPU,716.38,2024-06-27
620,RAM,667.39,2024-11-03
621,Monitor,221.81,2025-09-28
622,GPU,1028.12,2024-08-28
623,CPU,874.12,2024-11-06
624,SSD,1163.37,2025-12-16
625,RAM,1251.59,2024-11-26
626,GPU,1326.53,2024-01-24
627,RAM,789.48,2024-03-12
628,Monitor,237.1,2024-01-18
629,HDD,1187.31,2025-10-19
630,GPU,911.67,2024-11-02
631,HDD,284.34,2024-02-04
632,CPU,1306.71,2024-05-04
633,CPU,1040.58,2025-04-01
634,CPU,1093.63,2025-02-09
635,GPU,233.9,2024-08-01
636,GPU,265.39,2024-07-06
637,Monitor,533.34,2025-03-27
638,CPU,1124.65,2025-06-17
639,HDD,198.04,2024-03-20
640,Keyboard,472.92,2025-05-08
641,CPU,841.4,2025-01-25
642,SSD,536.51,2025-06-24
643,Monitor,402.17,2025-01-13
644,SSD,272.39,2024-07-25
645,CPU,1175.04,2025-02-19
646,GPU,84.62,2024-07-22
647,RAM,1415.44,2024-12-24
648,GPU,435.88,2024-04-18
649,GPU,796.72,2024-01-29
650,Keyboard,828.69,2025-02-14
651,SSD,1464.66,2024-11-10
652,Keyboard,421.12,2025-03-28
653,GPU,1484.09,2024-03-14
654,SSD,154.97,2025-08-04
655,GPU,550.59,2025-01-02
656,GPU,324.55,2024-12-05
657,CPU,731.35,2025-05-26
658,SSD,1001.8,2025-09-27
659,Monitor,973.56,2025-04-05
660,CPU,204.53,2024-09-05
661,Monitor,1118.08,2024-08-12
662,CPU,1377.15,2024-09-16
663,GPU,972.93,2025-02-12
664,RAM,1442.71,2025-12-21
665,HDD,557.88,2025-12-09
666,Keyboard,445.17,2025-11-29
667,SSD,606.71,2025-03-15
668,HDD,1009.21,2024-04-03
669,Monitor,617.17,2025-09-05
670,Monitor,1089.79,2025-01-18
671,HDD,109.47,2025-02-15
672,Monitor,1027.05,2025-02-18
673,GPU,919.95,2024-04-30
674,HDD,1129.39,2024-06-11
675,CPU,905.0,2025-02-18
676,CPU,1161.34,2025-03-02
677,Keyboard,1387.68,2025-07-08
678,RAM,886.64,2025-06-06
679,CPU,172.51,2025-09-13
680,HDD,72.31,2025-07-18
681,CPU,1258.94,2025-09-04
682,CPU,1375.41,2025-05-05
683,CPU,1344.39,2024-12-29
684,CPU,803.88,2025-10-04
685,SSD,749.35,2025-06-30
686,HDD,1051.46,2024-07-09
687,GPU,1106.0,2024-09-02
688,GPU,1369.5,2025-02-26
689,SSD,308.79,2025-02-21
690,RAM,806.03,2025-12-06
691,SSD,1378.88,2024-09-28
692,HDD,1172.95,2025-10-26
693,SSD,1134.27,2024-11-05
694,HDD,549.2,2025-07-30
695,SSD,283.22,2025-04-29
696,Monitor,696.06,2025-08-17
697,SSD,323.94,2024-02-04
698,Keyboard,1376.83,2024-03-29
699,HDD,1259.56,2024-08-12
700,HDD,1268.92,2025-09-17
701,RAM,1216.93,2024-07-10
702,Keyboard,343.91,2024-11-03
703,GPU,575.04,2024-12-19
704,CPU,1137.21,2025-10-19
705,GPU,888.66,2024-07-12
706,HDD,439.34,2025-08-08
707,Monitor,1491.05,2024-03-27
708,HDD,504.06,2025-12-03
709,GPU,634.56,2024-03-03
710,SSD,1284.43,2025-04-22
711,CPU,272.85,2025-09-09
712,SSD,775.67,2025-05-30
713,HDD,871.71,2024-12-13
714,SSD,577.51,2024-06-24
715,GPU,1177.84,2024-06-20
716,Monitor,455.8,2024-11-17
717,SSD,1319.51,2025-09-04
718,CPU,1290.91,2024-07-29
719,SSD,570.44,2025-04-23
720,SSD,680.49,2024-12-28
721,HDD,420.43,2024-09-30
722,RAM,474.49,2024-05-07
723,HDD,1082.11,2024-02-20
724,RAM,1249.5,2025-08-07
725,Keyboard,1003.41,2024-04-16
726,Keyboard,512.38,2024-03-17
727,Keyboard,173.86,2024-12-27
728,RAM,1008.02,2025-04-27
729,GPU,189.25,2024-03-19
730,HDD,1371.92,2025-07-26
731,Keyboard,373.91,2025-03-10
732,SSD,514.82,2024-07-14
733,CPU,145.92,2025-04-27
734,CPU,1309.72,2024-02-03
735,RAM,773.99,2024-09-20
736,GPU,136.78,2025-07-27
737,GPU,311.05,2024-01-06
738,RAM,1382.12,2024-09-26
739,CPU,890.36,2025-04-14
740,GPU,961.16,2024-03-05
741,Keyboard,699.37,2025-12-22
742,Keyboard,1476.06,2024-03-09
743,Keyboard,255.15,2024-08-08
744,CPU,1396.56,2025-01-02
745,GPU,1214.2,2024-04-24
746,HDD,1087.25,2024-09-07
747,Keyboard,1018.39,2025-05-15
748,HDD,1161.22,2025-08-14
749,HDD,906.66,2024-06-21
750,Monitor,1186.31,2025-01-06
751,SSD,382.59,2025-10-27
752,HDD,940.53,2025-04-04
753,RAM,172.6,2025-10-03
754,RAM,958.07,2025-07-19
755,SSD,823.4,2024-05-30
756,Keyboard,555.58,2024-01-19
757,Keyboard,793.82,2024-05-18
758,GPU,202.27,2025-09-12
759,Keyboard,904.11,2025-07-16
760,Keyboard,321.26,2025-06-04
761,RAM,78.79,2025-09-12
762,GPU,361.94,2025-10-08
763,RAM,124.63,2024-06-08
764,Keyboard,221.04,2025-04-12
765,SSD,233.75,2024-12-31
766,SSD,748.57,2025-02-27
767,Keyboard,1154.09,2025-03-19
768,RAM,740.83,2024-10-10
769,Monitor,1163.12,2025-12-23
770,SSD,128.5,2025-08-19
771,CPU,378.72,2024-06-24
772,Keyboard,1178.13,2025-05-10
773,Monitor,825.18,2025-08-10
774,Keyboard,747.66,2024-11-13
775,SSD,1085.39,2025-01-09
776,Monitor,170.1,2024-05-17
777,SSD,705.44,2025-09-18
778,RAM,810.02,2024-04-28
779,CPU,1196.91,2025-12-05
780,SSD,1117.54,2025-06-15
781,Monitor,850.68,2025-10-26
782,RAM,139.25,2024-06-30
783,Monitor,1499.39,2025-06-07
784,Monitor,666.92,2025-08-31
785,Monitor,219.72,2024-10-03
